date,period,sl_098_109_191
2026-04-02,N,5053
2026-04-02,N+01,1134
2026-04-02,N+02,858
2026-04-02,N+03,853
2026-04-02,N+04,901
2026-04-02,N+05,713
2026-04-02,N+06,698
2026-04-02,N+07,724
2026-04-02,N+09,667
2026-04-02,N+10,626
2026-04-02,N+11,524
2026-04-02,N+12,548
2026-04-02,N+13,511
2026-04-02,N+14,446
2026-04-02,N+15,445
2026-04-02,N+16,436
2026-04-02,N+17,397
2026-04-02,N+18,419
2026-04-03,N,5290
2026-04-03,N+01,990
2026-04-03,N+02,803
2026-04-03,N+03,854
2026-04-03,N+04,717
2026-04-03,N+05,680
2026-04-03,N+06,672
2026-04-03,N+08,635
2026-04-03,N+09,627
2026-04-03,N+10,529
2026-04-03,N+11,490
2026-04-03,N+12,489
2026-04-03,N+13,453
2026-04-03,N+14,453
2026-04-03,N+15,465
2026-04-03,N+16,406
2026-04-03,N+17,354
2026-04-04,N,5168
2026-04-04,N+01,963
2026-04-04,N+02,767
2026-04-04,N+03,699
2026-04-04,N+04,619
2026-04-04,N+05,642
2026-04-04,N+07,636
2026-04-04,N+08,655
2026-04-04,N+09,537
2026-04-04,N+10,504
2026-04-04,N+11,430
2026-04-04,N+12,412
2026-04-04,N+13,399
2026-04-04,N+14,400
2026-04-04,N+15,430
2026-04-04,N+16,383
2026-04-05,N,5478
2026-04-05,N+01,971
2026-04-05,N+02,751
2026-04-05,N+03,699
2026-04-05,N+04,726
2026-04-05,N+06,627
2026-04-05,N+07,654
2026-04-05,N+08,634
2026-04-05,N+09,534
2026-04-05,N+10,470
2026-04-05,N+11,462
2026-04-05,N+12,476
2026-04-05,N+13,422
2026-04-05,N+14,424
2026-04-05,N+15,464
2026-04-06,N,5369
2026-04-06,N+01,946
2026-04-06,N+02,749
2026-04-06,N+03,803
2026-04-06,N+05,651
2026-04-06,N+06,630
2026-04-06,N+07,533
2026-04-06,N+08,592
2026-04-06,N+09,522
2026-04-06,N+10,484
2026-04-06,N+11,468
2026-04-06,N+12,418
2026-04-06,N+13,412
2026-04-06,N+14,367
2026-04-07,N,4941
2026-04-07,N+01,795
2026-04-07,N+02,755
2026-04-07,N+04,620
2026-04-07,N+05,581
2026-04-07,N+06,536
2026-04-07,N+07,552
2026-04-07,N+08,529
2026-04-07,N+09,458
2026-04-07,N+10,416
2026-04-07,N+11,414
2026-04-07,N+12,371
2026-04-07,N+13,379
2026-04-08,N,4895
2026-04-08,N+01,818
2026-04-08,N+03,662
2026-04-08,N+04,658
2026-04-08,N+05,512
2026-04-08,N+06,584
2026-04-08,N+07,498
2026-04-08,N+08,507
2026-04-08,N+09,447
2026-04-08,N+10,411
2026-04-08,N+11,404
2026-04-08,N+12,361
2026-04-09,N,5229
2026-04-09,N+02,781
2026-04-09,N+03,672
2026-04-09,N+04,566
2026-04-09,N+05,594
2026-04-09,N+06,551
2026-04-09,N+07,541
2026-04-09,N+08,448
2026-04-09,N+09,452
2026-04-09,N+10,409
2026-04-09,N+11,372
2026-04-11,N,5537
2026-04-11,N+01,864
2026-04-11,N+02,611
2026-04-11,N+03,651
2026-04-11,N+04,558
2026-04-11,N+05,506
2026-04-11,N+06,497
2026-04-11,N+07,516
2026-04-11,N+08,399
2026-04-11,N+09,410
2026-04-12,N,5726
2026-04-12,N+01,746
2026-04-12,N+02,658
2026-04-12,N+03,615
2026-04-12,N+04,539
2026-04-12,N+05,495
2026-04-12,N+06,507
2026-04-12,N+07,494
2026-04-12,N+08,465
2026-04-13,N,5039
2026-04-13,N+01,665
2026-04-13,N+02,527
2026-04-13,N+03,530
2026-04-13,N+04,448
2026-04-13,N+05,476
2026-04-13,N+06,436
2026-04-13,N+07,443
2026-04-14,N,4883
2026-04-14,N+01,632
2026-04-14,N+02,572
2026-04-14,N+03,501
2026-04-14,N+04,478
2026-04-14,N+05,421
2026-04-14,N+06,402
2026-04-15,N,4548
2026-04-15,N+01,636
2026-04-15,N+02,513
2026-04-15,N+03,478
2026-04-15,N+04,407
2026-04-15,N+05,382
2026-04-16,N,4406
2026-04-16,N+01,555
2026-04-16,N+02,490
2026-04-16,N+03,438
2026-04-16,N+04,397
2026-04-17,N,4130
2026-04-17,N+01,530
2026-04-17,N+02,400
2026-04-17,N+03,379
2026-04-18,N,4109
2026-04-18,N+01,461
2026-04-18,N+02,432
2026-04-19,N,3983
2026-04-19,N+01,449
2026-04-20,N,3763
