date,sltb,sltb_dh_all,sltb_mua_all,sltb_dh_098,sltb_mua_098,sltb_mua_191_098,sltb_mua_myviettel_098,sltb_dh_101,sltb_mua_101,sltb_mua_191_101,sltb_mua_myviettel_101,sltb_dh_102
4/13/2026,206661,23119,7724,17773,6385,6243,142,4379,1089,1067,22,1655
4/14/2026,206661,41377,14683,32426,12456,12160,296,8078,2168,2116,52,4567
4/15/2026,206661,55935,20202,44543,17779,17349,430,11443,2983,2898,85,7225
4/16/2026,206661,67231,24221,54113,21647,21113,534,14379,3745,3636,109,9268
4/17/2026,206661,76504,27370,62062,24742,24125,617,16867,4405,4270,135,11024
4/18/2026,206661,84407,29582,68814,27194,26514,680,19206,4971,4817,154,12517
4/19/2026,206661,91384,31932,74712,29283,28520,763,21312,5447,5285,162,13954
4/20/2026,206661,97438,37035,80156,33941,33063,878,23106,6499,6311,188,15246
4/21/2026,206661,102439,39918,84456,36626,35663,963,24711,7221,7001,220,16354
4/22/2026,206661,107102,41164,88165,37873,36864,1009,26158,7526,7297,229,18331
4/23/2026,206661,111561,47785,91730,43581,42420,1161,27657,9100,8797,303,20201
4/24/2026,206661,115556,49024,94878,44803,43596,1207,29013,9442,9129,313,22172
4/25/2026,206661,119168,50103,97865,45929,44690,1239,30291,9743,9416,327,23843
4/26/2026,206661,122549,51038,100695,46938,45683,1255,31420,10006,9674,332,25406
